epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2869,1.54459,2.32865,1.74591,0.43719,0.07599,0.05754,0.0291,nan,nan,nan,0.00166172,0.00166172,0.00166172
2,158.77,1.64271,2.2385,1.81701,0.24577,0.31497,0.23845,0.12894,nan,nan,nan,0.00332757,0.00332757,0.00332757
3,232.082,1.528,2.13663,1.71017,0.26142,0.40525,0.27081,0.16814,1.3587,2.20386,1.63993,0.00499013,0.00499013,0.00499013
4,300.707,1.46683,2.14443,1.67983,0.18338,0.56608,0.27489,0.18646,1.21938,2.19719,1.48043,0.00498892,0.00498892,0.00498892
5,372.986,1.38848,1.99546,1.61897,0.29114,0.41149,0.32404,0.21062,1.19168,1.90666,1.47498,0.00498031,0.00498031,0.00498031
6,441.291,1.36599,1.95763,1.61626,0.64149,0.33493,0.36623,0.2504,1.21858,1.67611,1.46623,0.00496925,0.00496925,0.00496925
7,508.991,1.31434,1.84669,1.58735,0.39507,0.4862,0.46272,0.30559,1.17227,1.53623,1.44703,0.00495576,0.00495576,0.00495576
8,576.984,1.27261,1.79103,1.54152,0.32559,0.50383,0.43596,0.31007,1.12835,1.6201,1.42926,0.00493985,0.00493985,0.00493985
9,646.078,1.26496,1.80039,1.54545,0.3141,0.6094,0.45868,0.32044,1.08049,1.55919,1.38379,0.00492154,0.00492154,0.00492154
10,716.494,1.2329,1.67081,1.50874,0.43237,0.56063,0.52434,0.37797,1.0494,1.41474,1.37593,0.00490083,0.00490083,0.00490083
11,781.407,1.23264,1.6743,1.51748,0.47404,0.59081,0.5802,0.42023,0.97429,1.33088,1.29656,0.00487776,0.00487776,0.00487776
12,850.833,1.18167,1.61248,1.48054,0.51586,0.54578,0.54828,0.41537,0.97531,1.34229,1.28263,0.00485235,0.00485235,0.00485235
13,916.412,1.18581,1.57454,1.47952,0.53077,0.5952,0.5902,0.42631,0.94774,1.28544,1.30209,0.00482462,0.00482462,0.00482462
14,987.43,1.13508,1.57595,1.44422,0.39957,0.51627,0.49683,0.36701,0.92825,1.42159,1.26757,0.00479459,0.00479459,0.00479459
15,1052.66,1.09513,1.4923,1.42491,0.55972,0.64783,0.59551,0.43627,0.93417,1.23112,1.24478,0.00476231,0.00476231,0.00476231
16,1123.67,1.12099,1.47558,1.44215,0.52987,0.69298,0.65236,0.49696,0.88485,1.21544,1.22872,0.00472779,0.00472779,0.00472779
17,1190.73,1.10823,1.51459,1.41988,0.5727,0.55485,0.60198,0.44564,0.93537,1.25524,1.2557,0.00469108,0.00469108,0.00469108
18,1255.9,1.09331,1.47723,1.41997,0.57423,0.66349,0.64065,0.48089,0.8972,1.15088,1.25356,0.0046522,0.0046522,0.0046522
19,1320.96,1.10047,1.49765,1.4211,0.67864,0.56492,0.65804,0.49227,0.9307,1.16006,1.25989,0.00461121,0.00461121,0.00461121
20,1385.59,1.07769,1.43653,1.40096,0.60423,0.61986,0.65239,0.51509,0.87375,1.13289,1.21166,0.00456813,0.00456813,0.00456813
21,1454.55,1.08034,1.46341,1.40002,0.66969,0.62061,0.67045,0.51546,0.87388,1.10233,1.21027,0.00452302,0.00452302,0.00452302
22,1521.49,1.09448,1.48961,1.41706,0.70026,0.58497,0.68138,0.52156,0.87461,1.10176,1.21131,0.00447591,0.00447591,0.00447591
23,1586.81,1.04642,1.34032,1.39193,0.58591,0.65207,0.66436,0.52319,0.86058,1.11818,1.20211,0.00442686,0.00442686,0.00442686
