iter	Logloss
0	0.6696160789
1	0.6530973853
2	0.6336986263
3	0.6110534668
4	0.5963469094
5	0.5777736757
6	0.5622829654
7	0.5505423197
8	0.5389414842
9	0.5259672956
10	0.5130068771
11	0.502054354
12	0.4919086239
13	0.480104648
14	0.4717558574
15	0.4640540767
16	0.4555057122
17	0.4480712394
18	0.4406279897
19	0.433052032
20	0.4237909084
21	0.4148256255
22	0.4065633014
23	0.3995604476
24	0.3926914494
25	0.3877962934
26	0.3817250011
27	0.3753089285
28	0.3702752958
29	0.3649609573
30	0.3594815014
31	0.3545413754
32	0.3500036844
33	0.3443710513
34	0.3398331743
35	0.3354179258
36	0.3304435296
37	0.3257330918
38	0.3212796653
39	0.3169649326
40	0.3125756427
41	0.3079841738
42	0.3040516551
43	0.3000425013
44	0.296077201
45	0.2918756066
46	0.2884617007
47	0.2847204441
48	0.2805119956
49	0.2763340648
50	0.2726796158
51	0.2698806515
52	0.2666405779
53	0.2630119014
54	0.2598753363
55	0.2566355884
56	0.2533408064
57	0.2503743831
58	0.2477052735
59	0.2447010754
60	0.2416115427
61	0.2388554395
62	0.2362804258
63	0.2333360377
64	0.2302528009
65	0.2277173918
