iter	Passed	Remaining
0	52	3407
1	104	3334
2	158	3324
3	209	3245
4	265	3240
5	320	3202
6	373	3148
7	424	3079
8	479	3034
9	530	2969
10	584	2922
11	638	2872
12	691	2820
13	749	2782
14	810	2754
15	871	2722
16	929	2679
17	988	2636
18	1043	2580
19	1096	2522
20	1151	2468
21	1205	2410
22	1206	2256
23	1266	2216
24	1330	2181
25	1396	2147
26	1461	2111
27	1533	2080
28	1587	2025
29	1641	1970
30	1695	1914
31	1762	1872
32	1827	1827
33	1897	1785
34	2000	1772
35	2070	1725
36	2135	1673
37	2191	1614
38	2250	1558
39	2311	1502
40	2373	1447
41	2436	1392
42	2499	1336
43	2558	1279
44	2639	1231
45	2741	1192
46	2829	1143
47	2942	1103
48	3017	1046
49	3076	984
50	3134	922
51	3190	859
52	3245	796
53	3299	733
54	3351	670
55	3403	607
56	3459	546
57	3521	485
58	3585	425
59	3648	364
60	3704	303
61	3772	243
62	3834	182
63	3898	121
64	3967	61
65	4031	0
